29Q327,Eagle Academy for Young Men III,Q92A
29Q498,Institute of the Performing & Media Arts,Q53A
29Q498,Institute of Visual Arts,Q53J
30Q286,"The Young Women's Leadership School, Astoria",Q56A
30Q301,Academy for Careers in Television and Film,Q01A
30Q445,Forensic Science and Law Institute,Q15A
30Q445,Math and Science Institute,Q15J
30Q445,Zoned,Q15Z
30Q450,West Queens Center for the Humanities and the Sciences,Q29H
30Q450,Culinary Institute,Q29J
30Q450,Opera Institute,Q29K
30Q450,Orchestra Academy,Q29L
30Q450,Zoned,Q29Z
30Q501,Film and Media Arts,Q40F
31R080,Comprehensive Academic for Current Students,R15K
31R440,Future Teachers Academy,R20A
30Q501,Fine Arts,Q40J
30Q501,Instrumental Music,Q40K
30Q501,Vocal Music,Q40L
30Q501,Dance,Q40M
30Q501,Drama,Q40N
30Q502,Information Technology,Q22A
30Q555,Newcomers High School,Q98A
30Q575,Academy of American Studies,Q71A
30Q575,Intensive Academic Humanities,Q71B
30Q580,International Baccalaureate Program,Q41A
31R047,CSI High School for International Studies,R01R
31R064,Gaynor McCown Expeditionary Learning School,R55A
31R440,"Law, History & Human Rights Institute",R20C
31R440,Corporate Center for Business and Technology,R20E
31R440,Institute of Health Sciences,R20F
31R440,Academy of Communication and Media Arts,R20M
31R440,Academy of Fine and Dramatic Arts,R20P
31R440,Math & Science Institute,R20S
31R440,Institute of Forensic Science and Criminology,R20T
31R440,Zoned,R20Z
31R445,The Gateway Scholars Program,R10A
31R445,Culinary Arts,R10C
31R445,Junior Reserve Officers' Training Corps,R10D
31R445,"Institute of Business Technology, Hospitality & Entrepreneurship",R10K
31R445,"The Academy of Television, Visual and Performing Arts",R10L
31R445,Medical Technology,R10M
31R445,Collegiate Academy Honors Program,R10R
31R445,Academy for Careers in Education and Public Service,R10S
31R445,Zoned,R10Z
31R450,Computer Business Institute,R19A
31R450,Legal Studies & Law Enforcement,R19B
31R450,International Baccalaureate/Scholarship Honors Program,R19C
31R450,Journalism Institute,R19D
31R450,Naval Junior Reserve Officers' Training Corps,R19E
31R450,Practical Nursing/Nursing Assistant/Medical Technology,R19F
31R450,Performing Arts,R19G
31R450,School for International Services,R19H
31R450,Visual Arts,R19J
31R450,Zoned,R19Z
31R455,Marine Corps Junior Reserve Officers' Training Corps,R30B
31R455,Classics Institute,R30C
31R455,Science Institute,R30S
31R455,Zoned,R30Z
31R460,Academy of Finance,R17A
31R460,Air Force Junior Reserve Officers' Training Corps,R17C
31R460,Law & Politics Institute,R17D
31R460,Scholarsâ Academy,R17F
31R460,Music,R17G
31R460,Visual Arts,R17H
31R460,Theater,R17J
31R460,Zoned,R17Z
31R600,Electrical Engineering and Installation Program,R60A
31R600,Information Technologies,R60H
31R600,Commercial Art/Graphic Design,R60I
31R600,CAD/Mechanical Technology,R60K
31R600,Automotive Service Center Specialist,R60P
31R600,Construction Trades and Management,R60R
32K168,Mathematics & Humanities,L68A
32K403,Academy for Environmental Leadership,L23A
32K545,Public Service,K73A
32K549,Humanities and Interdisciplinary,K54A
32K552,Urban Planning and Design,K52A
32K554,"Pre-Med, Pre-Teaching, Pre-Engineering",K55C
32K556,Bushwick Leaders High School for Academic Excellence,K36A
02M139,Building Arts & Historic Preservation,M18A
02M135,The Urban Assembly School for Emergency Management,M28A
05M157,The Urban Assembly School for Global Commerce,M48A
