17K382,Academy for College Preparation and Career Exploration: A College Board School,11226,BROOKLYN 
17K539,High School for Service & Learning at Erasmus,11226,BROOKLYN 
17K537,High School for Youth and Community Development at Erasmus,11226,BROOKLYN 
17K408,Academy of Hospitality and Tourism,11226,BROOKLYN 
17K543,"Science, Technology and Research Early College High School at Erasmus (STAR)",11226,BROOKLYN 
25Q281,East-West School of International Studies,11355,QUEENS   
25Q460,Flushing High School,11354,QUEENS   
25Q240,Veritas Academy,11354,QUEENS   
25Q241,Queens High School for Language Studies,11354,QUEENS   
28Q680,Queens Gateway to Health Sciences Secondary School,11432,QUEENS   
28Q440,Forest Hills High School,11375,QUEENS   
28Q686,Queens Metropolitan High School,11375,QUEENS   
28Q167,Metropolitan Expeditionary Learning School,11375,QUEENS   
13K430,Brooklyn Technical High School,11217,BROOKLYN 
13K265,Dr. Susan S. McKinney Secondary School of the Arts,11205,BROOKLYN 
02M551,Urban Assembly New York Harbor School,10004,MANHATTAN
02M413,School of the Future High School,10010,MANHATTAN
02M399,The High School For Language And Diplomacy,10003,MANHATTAN
02M533,Union Square Academy for Health Sciences,10003,MANHATTAN
02M420,High School for Health Professions and Human Services,10003,MANHATTAN
02M047,Â“47Â” The American Sign Language and English Secondary School,10010,MANHATTAN
02M546,Academy for Software Engineering (AFSE),10003,MANHATTAN
02M407,Institute for Collaborative Education (ICE),10003,MANHATTAN
02M438,International High School at Union Square,10003,MANHATTAN
02M374,Gramercy Arts High School,10003,MANHATTAN
21K540,John Dewey High School,11223,BROOKLYN 
21K468,Kingsborough Early College School,11214,BROOKLYN 
21K572,Expeditionary Learning School for Community Leaders,11214,BROOKLYN 
21K337,International High School at Lafayette,11214,BROOKLYN 
21K348,High School of Sports Management,11214,BROOKLYN 
21K559,Life Academy High School for Film and Music,11214,BROOKLYN 
29Q259,Pathways College Preparatory School: A College Board School,11412,QUEENS   
30Q502,Information Technology High School,11101,QUEENS   
24Q610,Aviation Career & Technical Education High School,11101,QUEENS   
30Q301,Academy for Careers in Television and Film (ACTV),11101,QUEENS   
24Q267,High School of Applied Communication,11101,QUEENS   
24Q299,Bard High School Early College Queens,11101,QUEENS   
24Q520,Middle College High School at LaGuardia Community College,11101,QUEENS   
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",11101,QUEENS   
24Q264,Academy of Finance and Enterprise,11101,QUEENS   
24Q530,International High School at LaGuardia Community College,11101,QUEENS   
24Q600,Queens Vocational and Technical High School,11101,QUEENS   
08X269,Bronx Studio School for Writers and Artists,10459,BRONX    
06M211,Inwood Early College for Health and Information Technologies,10034,MANHATTAN
06M423,High School for Excellence and Innovation,10034,MANHATTAN
29Q326,Cambria Heights Academy,11423,QUEENS   
28Q687,Queens High School for the Sciences at York College,11433,QUEENS   
25Q252,"Queens School of Inquiry, The",11366,QUEENS   
25Q670,Robert F. Kennedy Community High School,11366,QUEENS   
25Q525,Townsend Harris High School,11367,QUEENS   
25Q425,John Bowne High School,11367,QUEENS   
02M459,Manhattan International High School,10065,MANHATTAN
02M449,Vanguard High School,10065,MANHATTAN
02M416,Eleanor Roosevelt High School,10021,MANHATTAN
02M519,Talent Unlimited High School,10065,MANHATTAN
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,10023,MANHATTAN
03M541,Manhattan / Hunter Science High School,10023,MANHATTAN
03M494,High School of Arts and Technology,10023,MANHATTAN
03M299,The Maxine Greene High School for Imaginative Inquiry,10023,MANHATTAN
03M492,"High School for Law, Advocacy and Community Justice",10023,MANHATTAN
03M859,Special Music School,10023,MANHATTAN
03M307,"Urban Assembly School for Media Studies, The",10023,MANHATTAN
12X248,"Metropolitan High School, The",10459,BRONX    
08X332,Holcombe L. Rucker School of Community Research,10459,BRONX    
12X479,Bronx Career and College Preparatory High School,10456,BRONX    
08X530,Banana Kelly High School,10459,BRONX    
12X267,Bronx Latin,10456,BRONX    
01M292,Orchard Collegiate Academy (Henry Street School),10002,MANHATTAN
01M448,University Neighborhood High School,10002,MANHATTAN
